Date,direction_cardinal,Direction,Speed,,,
"Sunday, 12 February 2023",S,270,63,,,
"Monday, 13 February 2023",SSE,292.5,39,,,
"Tuesday, 14 February 2023",SSW,247.5,44,,,
"Wednesday, 15 February 2023",NE,45,35,,,
"Thursday, 16 February 2023",NE,45,43,,,
"Friday, 17 February 2023",ENE,22.5,43,,,
"Saturday, 18 February 2023",SW,225,70,,,
"Sunday, 19 February 2023",S,270,39,,,
"Monday, 20 February 2023",ENE,22.5,39,,,
"Tuesday, 21 February 2023",SSE,292.5,54,,,
"Wednesday, 22 February 2023",SSE,292.5,65,,,
"Thursday, 23 February 2023",ESE,337.5,50,,,
"Friday, 24 February 2023",ENE,22.5,37,,,
"Saturday, 25 February 2023",NE,45,41,,,
"Sunday, 26 February 2023",WSW,202.5,56,,,
"Monday, 27 February 2023",SSW,247.5,37,,,
"Tuesday, 28 February 2023",E,0,33,,,
"Wednesday, 1 March 2023",SSW,247.5,65,,,
"Thursday, 2 March 2023",E,0,28,,,
"Friday, 3 March 2023",SSW,247.5,37,,,
"Saturday, 4 March 2023",E,0,26,,,
"Sunday, 5 March 2023",NE,45,50,,,
"Monday, 6 March 2023",NNW,112.5,57,,,
"Tuesday, 7 March 2023",ENE,22.5,33,,,
"Wednesday, 8 March 2023",E,0,31,,,
"Thursday, 9 March 2023",SE,315,33,,,
"Friday, 10 March 2023",NE,45,46,,,
"Saturday, 11 March 2023",NE,45,41,,,
"Sunday, 12 March 2023",SSW,247.5,50,,,
"Monday, 13 March 2023",ESE,337.5,43,,,
"Tuesday, 14 March 2023",ESE,337.5,33,,,
"Wednesday, 15 March 2023",ENE,22.5,24,,,
"Thursday, 16 March 2023",W,180,37,,,
"Friday, 17 March 2023",SSE,292.5,41,,,
"Saturday, 18 March 2023",NNE,67.5,41,,,
"Sunday, 19 March 2023",SSW,247.5,28,,,
"Monday, 20 March 2023",SSE,292.5,56,,,
"Tuesday, 21 March 2023",ESE,337.5,35,,,
"Wednesday, 22 March 2023",N,90,30,,,
"Thursday, 23 March 2023",SSE,292.5,37,,,
"Friday, 24 March 2023",SSE,292.5,33,,,
"Saturday, 25 March 2023",E,0,37,,,
"Sunday, 26 March 2023",N,90,31,,,
"Monday, 27 March 2023",W,180,28,,,
"Tuesday, 28 March 2023",W,180,24,,,
"Wednesday, 29 March 2023",W,180,54,,,
"Thursday, 30 March 2023",W,180,41,,,
"Friday, 31 March 2023",W,180,39,,,
"Saturday, 1 April 2023",SSW,247.5,44,,,
"Sunday, 2 April 2023",E,0,46,,,
"Monday, 3 April 2023",E,0,35,,,
"Tuesday, 4 April 2023",ESE,337.5,30,,,
"Wednesday, 5 April 2023",SSE,292.5,30,,,
"Thursday, 6 April 2023",W,180,22,,,
"Friday, 7 April 2023",WSW,202.5,44,,,
"Saturday, 8 April 2023",W,180,61,,,
"Sunday, 9 April 2023",W,180,61,,,
"Monday, 10 April 2023",W,180,41,,,
"Tuesday, 11 April 2023",S,270,46,,,
"Wednesday, 12 April 2023",W,180,26,,,
"Thursday, 13 April 2023",SSW,247.5,43,,,
"Friday, 14 April 2023",SE,315,41,,,
"Saturday, 15 April 2023",NNE,67.5,35,,,
"Sunday, 16 April 2023",W,180,54,,,
"Monday, 17 April 2023",W,180,37,,,
